x,y
28.34,748.607
29.012,852.628
27.031,824.984
29.684,726.905
27.689,623.094
30.325,580.743
31.015,596.476
31.691,604.741
32.355,622.297
33.676,604.438
37.039,540.511
35.022,588.284
33.012,499.403
34.358,513.235
35.679,399.054
36.371,379.53
